date,count,fatal,injury
20140718,738,0,114
20140719,581,0,101
20140720,545,0,94
20140721,656,0,99
20140722,696,0,109
20140723,694,0,103
20140724,654,0,115
20140725,778,0,125
20140726,647,0,113
20140727,572,0,96
20140728,718,0,123
20140729,622,0,96
20140730,720,0,115
20140731,734,0,108
20140801,791,0,124
20140802,650,0,110
20140803,559,0,83
20140804,704,0,115
20140805,723,0,117
20140806,655,0,93
20140807,701,0,116
20140808,722,0,121
20140809,644,0,106
20140810,624,0,112
20140811,714,0,110
20140812,580,0,89
20140813,685,0,113
20140814,751,0,126
20140815,599,0,77
20140816,586,0,96
20140817,588,0,112
20140818,692,0,97
20140819,618,0,102
20140820,645,0,94
20140821,680,0,113
20140822,675,0,107
20140823,539,0,85
20140824,523,0,86
20140825,642,0,93
20140826,722,0,114
20140827,638,0,100
20140828,735,0,117
20140829,746,0,115
20140830,604,0,94
20140831,582,0,87
20140901,476,0,84
20140902,815,0,115
20140903,686,0,106
20140904,847,0,120
20140905,751,0,104
20140906,652,0,99
20140907,579,0,102
20140908,701,0,103
20140909,688,0,96
20140910,739,0,121
20140911,719,0,100
20140912,874,0,144
20140913,669,0,111
20140914,639,0,111
20140915,719,0,109
20140916,722,0,109
20140917,783,0,125
20140918,773,0,123
20140919,748,0,100
20140920,706,0,112
20140921,613,0,98
20140922,797,0,135
20140923,690,0,98
20140924,656,0,90
20140925,574,0,83
20140926,770,0,127
20140927,719,0,119
20140928,610,0,98
20140929,669,0,103
20140930,702,0,113
20141001,667,0,108
20141002,648,0,90
20141003,876,0,157
20141004,648,0,117
20141005,604,0,99
20141006,758,0,119
20141007,758,0,138
20141008,761,0,122
20141009,598,0,99
20141010,635,0,94
20141011,656,0,110
20141012,576,0,103
20141013,554,0,103
20141014,827,0,131
20141015,682,0,107
20141016,727,0,125
20141017,770,0,122
20141018,605,0,112
20141019,585,0,102
20141020,699,0,108
20141021,723,0,116
20141022,867,0,159
20141023,756,0,117
20141024,775,0,106
20141025,615,0,100
20141026,604,0,89
20141027,779,0,137
20141028,662,0,91
20141029,661,0,105
20141030,722,0,96
20141031,782,0,114
20141101,800,0,144
20141102,624,0,92
20141103,744,0,119
20141104,639,0,101
20141105,660,0,106
20141106,772,0,120
20141107,772,0,131
20141108,641,0,98
20141109,489,0,70
20141110,670,0,110
20141111,576,0,83
20141112,659,0,113
20141113,823,0,127
20141114,774,0,120
20141115,633,0,104
20141116,512,0,83
20141117,798,0,132
20141118,829,0,117
20141119,729,0,96
20141120,727,0,93
20141121,791,0,114
20141122,618,0,106
20141123,501,0,76
20141124,841,0,119
20141125,695,0,96
20141126,899,0,157
20141127,455,0,77
20141128,527,0,83
20141129,452,0,58
20141130,436,0,59
20141201,758,0,114
20141202,724,0,113
20141203,672,0,103
20141204,718,0,112
20141205,819,0,146
20141206,759,0,131
20141207,587,0,94
20141208,662,0,83
20141209,763,0,118
20141210,787,0,138
20141211,785,0,116
20141212,785,0,98
20141213,694,0,100
20141214,522,0,83
20141215,847,0,127
20141216,781,0,136
20141217,676,0,121
20141218,714,0,93
20141219,768,0,116
20141220,591,0,86
20141221,474,0,65
20141222,658,0,92
20141223,871,0,138
20141224,620,0,101
20141225,360,0,57
20141226,514,0,68
20141227,489,0,83
20141228,415,0,66
20141229,483,0,72
20141230,541,0,72
20141231,530,0,69
20150101,476,0,81
20150102,504,0,62
20150103,559,0,103
20150104,463,0,82
20150105,606,0,108
20150106,880,0,103
20150107,630,0,92
20150108,670,0,97
20150109,872,0,121
20150110,553,0,72
20150111,395,0,54
20150112,693,0,113
20150113,714,0,101
20150114,589,0,83
20150115,650,0,102
20150116,650,0,87
20150117,574,0,79
20150118,1119,0,158
20150119,555,0,59
20150120,580,0,80
20150121,561,0,66
20150122,592,0,84
20150123,689,0,91
20150124,481,0,53
20150125,478,0,72
20150126,547,0,63
20150127,203,0,15
20150128,516,0,58
20150129,585,0,66
20150130,701,0,79
20150131,603,0,77
20150201,412,0,51
20150202,769,0,89
20150203,839,0,99
20150204,665,0,80
20150205,646,0,77
20150206,725,0,73
20150207,525,0,76
20150208,459,0,65
20150209,631,0,84
20150210,655,0,84
20150211,715,0,105
20150212,603,0,77
20150213,864,0,107
20150214,487,0,51
20150215,521,0,67
20150216,461,0,59
20150217,704,0,84
20150218,718,0,92
20150219,576,0,61
20150220,708,0,87
20150221,586,0,69
20150222,597,0,78
20150223,647,0,73
20150224,662,0,82
20150225,726,0,98
20150226,614,0,75
20150227,793,0,90
20150228,631,0,93
20150301,791,0,98
20150302,747,0,97
20150303,706,0,75
20150304,633,0,59
20150305,904,0,74
20150306,1047,0,108
20150307,650,0,72
20150308,542,0,78
20150309,770,0,109
20150310,697,0,113
20150311,661,0,96
20150312,672,0,86
20150313,717,0,108
20150314,606,0,99
20150315,524,0,66
20150316,607,0,78
20150317,610,0,82
20150318,629,0,82
20150319,669,0,87
20150320,680,0,110
20150321,589,0,83
20150322,514,0,82
20150323,669,0,83
20150324,685,0,84
20150325,644,0,106
20150326,619,0,94
20150327,603,0,71
20150328,523,0,64
20150329,579,0,74
20150330,645,0,89
20150331,729,0,101
20150401,757,0,109
20150402,750,0,97
20150403,571,0,80
20150404,598,0,91
20150405,507,0,85
20150406,595,0,86
20150407,526,0,74
20150408,517,0,60
20150409,516,0,64
20150410,579,0,93
20150411,665,0,89
20150412,516,0,73
20150413,649,0,95
20150414,628,0,87
20150415,704,0,109
20150416,653,0,93
20150417,793,0,114
20150418,723,0,118
20150419,568,0,97
20150420,728,0,98
20150421,756,0,111
20150422,660,0,92
20150423,701,0,89
20150424,782,0,107
20150425,693,0,102
20150426,562,0,85
20150427,645,0,87
20150428,712,0,99
20150429,809,0,130
20150430,747,0,107
20150501,750,0,108
20150502,640,0,100
20150503,677,0,122
20150504,754,0,114
20150505,744,0,107
20150506,652,0,84
20150507,804,0,120
20150508,848,0,139
20150509,652,0,92
20150510,665,0,116
20150511,773,0,128
20150512,810,0,126
20150513,772,0,117
20150514,782,0,128
20150515,846,0,123
20150516,786,0,137
20150517,675,0,132
20150518,662,0,96
20150519,708,0,101
20150520,791,0,125
20150521,706,0,91
20150522,857,0,130
20150523,650,0,103
20150524,516,0,84
20150525,510,0,90
20150526,794,0,108
20150527,831,0,134
20150528,799,0,117
20150529,969,0,156
20150530,750,0,128
20150531,667,0,112
20150601,806,0,115
20150602,767,0,125
20150603,783,0,125
20150604,651,0,100
20150605,802,0,111
20150606,718,0,120
20150607,673,0,114
20150608,741,0,107
20150609,757,0,105
20150610,802,0,135
20150611,777,0,111
20150612,535,0,84
20150613,480,0,85
20150614,682,0,106
20150615,576,0,70
20150616,699,0,106
20150617,839,0,133
20150618,739,0,124
20150619,849,0,117
20150620,607,0,102
20150621,746,0,126
20150622,914,0,140
20150623,819,0,117
20150624,893,0,116
20150625,782,0,112
20150626,906,0,132
20150627,699,0,104
20150628,633,0,98
20150629,776,0,114
20150630,732,0,110
20150701,812,0,129
20150702,698,0,95
20150703,662,0,113
20150704,484,0,95
20150705,556,0,89
20150706,698,0,100
20150707,772,0,126
20150708,723,0,103
20150709,680,0,113
20150710,847,0,138
20150711,711,0,114
20150712,622,0,101
20150713,788,0,120
20150714,760,0,103
20150715,727,0,117
20150716,808,0,122
20150717,771,0,112
20150718,667,0,106
20150719,647,0,102
20150720,867,0,140
20150721,700,0,94
20150722,730,0,112
20150723,744,0,122
20150724,582,0,92
20150725,532,0,81
20150726,677,0,126
20150727,728,0,102
20150728,753,0,110
20150729,740,0,111
20150730,822,0,105
20150731,895,0,142
20150801,787,0,119
20150802,656,0,107
20150803,840,0,135
20150804,780,0,114
20150805,739,0,120
20150806,742,0,113
20150807,869,0,143
20150808,640,0,95
20150809,594,0,105
20150810,722,0,111
20150811,715,0,114
20150812,749,0,106
20150813,845,0,131
20150814,858,0,130
20150815,669,0,90
20150816,658,0,106
20150817,699,0,107
20150818,740,0,117
20150819,694,0,100
20150820,711,0,111
20150821,884,0,131
20150822,691,0,110
20150823,585,0,93
20150824,673,0,98
